Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-06,0006,55.250,55.300,3.631M,54.700,57.370,116.744B,54.700,200.098M,54.950,54.000,7.497M,55.200,54.695,55.250,55.352,1719,57.105,"116,404",58.100,55.108,58.122,65.920,51.500,"27,625",39.734,0.050/0.050,1.005%,14.167/14.937,2.653%,29.502/5.222,0.379,HKD 3.900,+0.314,HKD 16.300,HKD 44.784
2018-06-06,0700,425.000,N/A,23.219M,420.000,423.320,"3,991.548B",420.800,9.834B,421.200,374.520,1.318B,424.800,405.840,425.000,404.378,16804,404.619,"585,241",425.104,423.532,373.145,475.720,259.520,"42,500",61.260,0.200/0.200,4.423%,45.737/40.035,57.403%,0.207/0.239,0.077,RMB 7.598,+1.487,RMB 0.708,RMB 26.958
2018-06-06,0762,10.840,10.900,18.504M,10.860,11.440,332.296B,10.740,200.079M,10.900,10.520,29.421M,10.840,10.894,10.860,10.940,1462,10.501,"136,853",10.495,10.813,10.943,13.176,9.136,"21,680",51.405,0.020/0.020,-0.914%,126.621/29.545,0.635%,0.595/1.331,-1.439,RMB 0.070,+0.854,RMB 0.052,RMB 9.937
2018-06-06,0823,72.400,N/A,5.323M,72.900,73.250,156.739B,72.150,385.953M,73.200,66.200,26.169M,72.400,70.275,72.450,68.955,2460,68.211,"156,891",68.325,72.507,65.659,75.000,56.785,"36,200",71.337,0.050/0.050,4.398%,9.130/29.612,4.002%,3.290/3.405,1.099,HKD 7.930,+0.416,HKD 2.284,HKD 62.468
2018-06-06,0836,15.880,16.000,6.210M,15.620,16.300,75.139B,15.620,98.822M,15.620,14.880,4.554M,15.880,15.876,15.900,15.595,1026,14.907,"96,317",14.406,15.913,14.543,16.300,12.820,"31,760",54.544,0.020/0.020,0.126%,16.371/11.105,0.611%,5.510/5.504,0.206,HKD 0.970,+0.454,HKD 0.875,HKD 15.636
2018-06-06,0083,14.000,14.280,7.808M,14.140,14.340,93.367B,13.820,109.240M,14.260,12.960,4.220M,14.000,13.556,14.020,13.508,981,13.284,"111,356",13.482,13.991,12.963,14.480,11.460,"28,000",63.048,0.020/0.020,4.790%,11.765/9.722,0.665%,7.000/3.786,7.204,HKD 1.190,+0.850,HKD 0.530,HKD 20.323
2018-06-06,0857,6.560,N/A,157.556M,6.370,6.550,134.400B,6.340,1.024B,6.400,5.580,294.166M,6.550,6.336,6.560,6.229,3570,5.843,"286,862",5.764,6.499,5.332,6.660,4.639,"13,120",57.573,0.010/0.010,6.667%,44.699/19.089,0.464%,2.457/2.666,14.368,RMB 0.120,+0.842,RMB 0.130,RMB 6.521
2018-06-06,0883,13.660,13.760,66.831M,13.600,14.640,607.205B,13.460,914.261M,13.540,12.500,118.570M,13.640,13.312,13.660,13.642,4518,12.828,"202,360",12.298,13.680,10.677,14.640,8.250,"13,660",54.528,0.020/0.020,0.147%,20.308/11.282,1.664%,3.660/4.495,0.088,RMB 0.550,+0.770,RMB 0.402,RMB 8.511
2018-06-06,0939,8.140,8.200,236.393M,8.150,8.500,"1,959.401B",8.110,1.928B,8.180,7.800,642.646M,8.140,8.028,8.150,8.109,5715,8.102,"337,392",8.206,8.156,7.270,9.390,5.910,"8,140",52.860,0.010/0.010,1.118%,6.933/6.369,0.833%,4.466/4.808,1.342,RMB 0.960,+1.383,RMB 0.291,RMB 7.119
2018-06-06,0941,72.550,72.950,9.958M,72.300,73.418,"1,480.377B",72.500,723.405M,72.700,69.600,223.526M,72.550,71.382,72.600,71.755,2092,71.459,"345,796",73.117,72.646,75.842,83.195,68.068,"36,275",54.645,0.050/0.050,1.372%,10.631/9.920,3.362%,8.828/4.890,0.408,RMB 5.580,+0.510,RMB 5.508,RMB 48.137
